년월,데이터 건수,평당 거래가
201512,11,610.6488948991682
201601,8,574.2209234512022
201602,16,543.2213903076264
201603,15,586.5874520532026
201604,28,605.5258679910925
201605,52,672.4604345110106
201606,22,620.29020612222
201607,20,598.7289202757771
201608,10,658.4679870583169
201609,19,572.4646125944649
201610,20,524.9509862783265
201611,14,635.9378604644069
201612,10,602.5990817638857
201701,11,568.7023204774646
201702,16,577.492051589794
201703,13,559.0712731288503
201704,7,548.5602564287085
201705,16,604.3406470377054
201706,14,652.6708733957207
201707,11,616.5767835873777
201708,13,607.8876691146122
201709,12,674.7958762422079
201710,19,603.0064684316789
201711,8,622.1434123164915
201712,13,591.0283573359728
201801,12,605.0678924090764
201802,12,531.8185996889587
201803,19,638.3173482096246
201804,15,656.5071846667266
201805,10,687.3258861688397
201806,7,665.1752013314251
201807,11,641.8266632823475
201808,16,663.0168439269262
201809,12,685.94787003311
201810,13,670.8899210952353
201811,13,669.4869619790165
201812,11,666.9223368550793
201901,12,625.4541833667665
201902,12,608.0547079918109
201903,16,591.7087957261613
201904,10,586.7308773482541
201905,11,615.3469278813765
201906,6,578.4413699130334
201907,14,655.8049981918939
201908,7,605.3451963101191
201909,7,591.5273964930155
201910,4,562.0760833245338
201911,6,629.192592251049
201912,13,662.0060748012037
202001,10,503.70722644343414
202002,14,753.4167035521563
202003,4,735.5404085964118
202004,11,619.6017440117794
202005,19,669.5521155585523
202006,10,661.8565696494555
202007,24,658.6782988500771
202008,15,651.6245660825907
202009,8,711.6153266149544
202010,18,722.418210718077
202011,12,739.2866108072194
202012,21,681.2887456596565
202101,18,687.8897700688239
202102,16,663.6740420410043
202103,30,618.6375420609551
202104,14,665.492652143603
202105,15,710.2473061299756
202106,9,625.9214159791571
202107,8,687.7793543424458
202108,16,700.4579796911548
202109,12,705.9311277008395
202110,15,674.2721404576382
202111,13,660.7179943628541
202112,10,688.6556037379271
202201,7,738.6298786426149
202202,9,778.2747591345161
202203,12,766.4098766730143
202204,13,764.0666733772563
202205,7,769.6320873061998
202206,10,831.6503377205167
202207,3,915.8915213083143
202208,7,791.9245434408114
202209,9,660.2222436928333
202210,6,709.90515406495
202211,4,669.4969910007644
202212,8,776.2167947582149
202301,5,648.4991291875832
202302,8,853.4868085923025
202303,8,777.0459450490179
202304,9,747.9085959941285
202305,9,655.9133557280204
202306,10,636.4765545243193
202307,4,907.2791641481738
202308,11,820.6644645991764
202309,3,1006.1348258095455
202310,7,839.3062370944742
202311,7,886.5437475554693
202312,5,758.615926781103
202401,7,639.8998569218554
202402,7,892.5700754485069
202403,4,587.9345039860526
202404,7,629.6845500445633
