년월,데이터 건수,평당 거래가
201512,285,967.1322637758176
201601,351,987.362280534373
201602,311,963.97062221424
201603,575,969.4575884859488
201604,463,966.7851131896521
201605,588,1005.8434182338751
201606,573,995.8569757575805
201607,616,987.0849935423063
201608,576,1019.4671372491704
201609,568,1009.8856048077647
201610,594,1040.3256585105557
201611,319,1033.5991367271617
201612,248,1023.8042067512459
201701,224,993.8331844962934
201702,366,980.1561331639058
201703,491,1015.7706327593909
201704,469,1022.2381977531834
201705,591,1020.7655942407148
201706,595,1044.4239134150444
201707,508,1048.7161228727966
201708,414,1064.6223005991371
201709,405,1039.693127171927
201710,341,1043.7012792764258
201711,310,1038.2841383019013
201712,274,1074.3130667074445
201801,354,1023.6487392807264
201802,304,1063.4664597524259
201803,424,1076.488307562945
201804,303,1008.2177660947146
201805,252,1056.602394862283
201806,279,1009.8809290833062
201807,255,1051.0530551800657
201808,311,1085.971257787622
201809,338,1090.4812548455066
201810,339,1067.2558838511418
201811,223,1047.4305114103906
201812,342,1097.3585850802147
201901,320,1072.1229480379718
201902,275,1035.1481756196865
201903,298,1065.4828777743598
201904,283,1073.0759441738999
201905,271,1072.0338660503492
201906,265,1093.0290965722413
201907,277,1097.7509910357408
201908,326,1079.5781552204176
201909,277,1098.094468194457
201910,380,1125.2038614574535
201911,365,1081.829307307616
201912,409,1086.423359924991
202001,356,1081.3097683786011
202002,545,1125.2567516811935
202003,476,1096.2606877529863
202004,420,1079.436286495641
202005,615,1102.3590800669838
202006,710,1120.6702779406996
202007,460,1149.6598774346571
202008,326,1129.794959201259
202009,268,1118.608021859156
202010,566,1115.3922476490498
202011,647,1160.1998445806441
202012,524,1150.5717288748485
202101,565,1230.9347218875105
202102,612,1180.3183811435167
202103,958,1239.7414907843008
202104,658,1235.204975501339
202105,585,1267.4508981814724
202106,437,1382.8477286854811
202107,423,1425.0933431275841
202108,384,1552.3138647844075
202109,233,1605.841690235272
202110,206,1564.0859356364238
202111,194,1619.6998686275579
202112,126,1468.0148898550447
202201,118,1567.639809682602
202202,105,1599.2062816612934
202203,143,1596.9017880564882
202204,191,1557.240711207413
202205,166,1585.4220465716173
202206,134,1516.5013825845288
202207,74,1573.0869162108177
202208,81,1529.742345642452
202209,78,1561.5399435997026
202210,66,1481.6261671513291
202211,53,1388.9865581420252
202212,69,1347.912696535572
202301,92,1349.7854123009095
202302,148,1425.3989411477403
202303,208,1377.1700058945835
202304,170,1401.1773382834265
202305,220,1380.3433019240158
202306,194,1423.2779023368298
202307,186,1459.3977750300248
202308,198,1437.5539727126372
202309,231,1443.1258566682827
202310,198,1446.3466836522248
202311,155,1377.910938912457
202312,126,1457.0994183746982
202401,210,1416.0046811110237
202402,227,1393.3985796836798
202403,288,1369.0847055333036
202404,311,1430.877159817961
