년월,데이터 건수,평당 거래가
201512,364,1024.604534219276
201601,386,1011.5343448407917
201602,370,989.0737028146287
201603,651,983.1059789617289
201604,643,991.2672327059088
201605,604,1013.5816251119678
201606,676,1044.4300870162429
201607,775,1080.5808956219778
201608,652,1085.0120203524377
201609,713,1114.6375440163674
201610,809,1119.2459617519871
201611,489,1139.7532993069772
201612,351,1159.8754159500663
201701,313,1144.4090387538527
201702,476,1110.4368662948623
201703,586,1106.0240482515294
201704,584,1111.386406902473
201705,600,1124.0881385894565
201706,751,1136.6166831599726
201707,779,1154.7938221861104
201708,703,1162.5470612775814
201709,683,1172.5138263190574
201710,545,1158.8312756119874
201711,445,1162.0504497469228
201712,391,1174.7370572396096
201801,455,1144.9865343002639
201802,415,1167.9057280195761
201803,583,1160.4734549920736
201804,447,1134.9638435467714
201805,459,1149.0003321932052
201806,451,1162.3859981488772
201807,380,1182.2728336690438
201808,518,1174.0479303199427
201809,606,1186.1037550413432
201810,559,1195.0545900667817
201811,345,1163.197624031491
201812,383,1171.7846254672481
201901,397,1161.909529306136
201902,319,1126.7553472714226
201903,446,1145.974806334107
201904,426,1129.5905816180973
201905,449,1158.291752658978
201906,462,1140.675709511419
201907,500,1155.801017407991
201908,533,1188.679952647027
201909,534,1191.6970401933163
201910,649,1210.9935845606653
201911,633,1222.0004399206182
201912,667,1227.5036370989399
202001,759,1245.6201572850468
202002,2074,1295.8244012767955
202003,1023,1244.8007422421463
202004,851,1193.3433069514815
202005,792,1260.4293252871744
202006,1096,1274.7660430266737
202007,619,1303.1296698612032
202008,415,1296.3837932428737
202009,390,1373.7818762633935
202010,569,1307.613449107193
202011,707,1359.8884665282262
202012,850,1459.2971156388987
202101,815,1495.5143792037552
202102,987,1511.9821432222745
202103,1056,1450.2355623155936
202104,747,1453.3579152425796
202105,656,1515.823418884689
202106,518,1607.281485931598
202107,536,1695.884558354712
202108,464,1727.9722152667014
202109,346,1855.6337261200306
202110,274,1783.863397066208
202111,165,1768.176786062352
202112,134,1672.2787742143753
202201,130,1746.4104540903652
202202,153,1748.9890960500943
202203,200,1712.7012074797753
202204,236,1718.044511758204
202205,263,1728.732734729778
202206,203,1681.3242704725894
202207,126,1621.744828768588
202208,152,1593.8563947026971
202209,149,1588.143165891905
202210,168,1580.4000004025063
202211,164,1483.1039073144098
202212,178,1520.0558427285057
202301,241,1525.5270446713764
202302,425,1561.7778729673073
202303,421,1516.051159529923
202304,409,1543.139924675375
202305,462,1551.1791351613895
202306,356,1555.2868965599232
202307,333,1529.02476243405
202308,376,1572.7932421934797
202309,340,1505.8716846689076
202310,341,1526.8995231652802
202311,249,1506.0794976728832
202312,231,1555.2627254489644
202401,298,1531.781205593133
202402,304,1554.5293836688263
202403,419,1538.4370787233581
202404,406,1514.8839834739179
