년월,데이터 건수,평당 거래가
201512,60,925.2133064221808
201601,59,914.3500015382821
201602,65,902.4196450271987
201603,84,935.8972364752497
201604,80,904.5573625906633
201605,104,951.1823977765139
201606,91,917.9173628178801
201607,97,939.8638477659775
201608,152,940.1804488856092
201609,112,949.3075765391383
201610,105,984.9457833671198
201611,69,961.0273126764544
201612,49,982.76163913676
201701,48,964.8410393702479
201702,70,950.034048167585
201703,97,957.3050880801469
201704,100,936.9116143608668
201705,75,965.8874586006783
201706,73,916.0277082877809
201707,95,988.062097759176
201708,73,942.2967448583036
201709,86,991.1691284396584
201710,56,932.6353152205741
201711,47,1032.138522896155
201712,51,975.6193237811643
201801,61,972.6629262446592
201802,47,946.7910776026129
201803,103,960.6717002526991
201804,67,940.3426302111023
201805,69,959.9425432558087
201806,71,958.1156923937034
201807,56,945.354022224312
201808,76,963.5765668935054
201809,67,958.8293256677348
201810,85,994.4436479510427
201811,45,982.8873519906766
201812,31,923.5552341414777
201901,47,947.9025246818161
201902,38,917.4041481621705
201903,70,934.8774011349609
201904,51,981.6404666754088
201905,53,936.8811252729396
201906,41,948.798621111315
201907,65,954.2781435466208
201908,55,979.0786036372622
201909,46,989.7657444124857
201910,70,993.8126735888181
201911,62,955.461131725192
201912,61,862.6775472701472
202001,43,909.475307863469
202002,148,908.1296741830236
202003,140,953.712398455678
202004,112,965.1268522896584
202005,127,928.0355342623467
202006,115,967.0795761508998
202007,127,1005.2790032217389
202008,73,954.7984966593855
202009,69,968.9120731135595
202010,90,977.4636420962339
202011,106,995.1963743279241
202012,97,1010.2341412548852
202101,94,1000.2737621688574
202102,113,1005.6737891794571
202103,188,1022.9714905419102
202104,151,1044.5943495672168
202105,146,1039.4700908225518
202106,140,1087.7593058395414
202107,111,1171.7464910183555
202108,94,1272.015917025667
202109,64,1251.7031467385689
202110,55,1344.264795351433
202111,47,1468.845318727169
202112,36,1350.888109570611
202201,28,1297.3035146504697
202202,45,1301.112197743217
202203,58,1274.5355728685556
202204,60,1337.8277868338778
202205,54,1376.8880744560524
202206,34,1282.8709456076258
202207,30,1313.0535356547423
202208,37,1357.0826212033153
202209,31,1184.5325799734537
202210,26,1220.5505372076798
202211,26,1141.6772334401314
202212,21,1151.8838697166464
202301,30,1167.521717603882
202302,41,1182.5518519910806
202303,56,1198.7401171782294
202304,57,1238.425204131444
202305,65,1189.6041869960445
202306,45,1199.657173092681
202307,38,1207.2302854462723
202308,57,1212.5646805382992
202309,63,1181.3778339591129
202310,54,1241.787794889337
202311,43,1105.8041019514635
202312,23,1264.7231403211697
202401,46,1151.9563670333594
202402,43,1155.309724040368
202403,60,1213.9753509082188
202404,56,1133.0516820028513
