년월,데이터 건수,평당 거래가
201512,390,1092.2283086389907
201601,434,1095.654385956305
201602,493,1093.4132120287159
201603,774,1115.9693049641912
201604,803,1129.4514346204312
201605,725,1102.8083706508353
201606,902,1105.8228041408984
201607,896,1135.0834946155283
201608,848,1119.6819530894713
201609,749,1151.124077953763
201610,784,1182.0928572684572
201611,488,1142.8266813166697
201612,365,1165.3510201378708
201701,290,1143.2289165943207
201702,478,1166.4522071421225
201703,642,1147.5567676930043
201704,686,1154.2905512205537
201705,656,1170.3361743319417
201706,767,1194.9408639115059
201707,718,1204.8059909964622
201708,592,1206.588351806298
201709,590,1208.8300582714908
201710,531,1219.0706852812177
201711,472,1207.7517915857052
201712,342,1188.9241025473273
201801,432,1230.1634080079643
201802,402,1209.2517339626627
201803,621,1220.95761993889
201804,438,1198.0289683996555
201805,444,1187.407775462352
201806,400,1183.5294584835228
201807,431,1201.139990972489
201808,530,1244.7409767232723
201809,755,1300.0610670588644
201810,816,1246.7789919422455
201811,495,1260.455242810531
201812,387,1218.3765330599338
201901,387,1225.9714862237201
201902,377,1198.362023077959
201903,505,1232.974051391022
201904,524,1218.468758897682
201905,452,1223.0649462771362
201906,533,1230.8446767334615
201907,592,1224.806195552643
201908,500,1255.6246427680144
201909,538,1253.2503094412853
201910,795,1311.528781857606
201911,793,1326.5830141142533
201912,813,1307.0047678928245
202001,740,1330.7316347348055
202002,1398,1310.7017307212072
202003,1095,1288.8926685800036
202004,725,1283.1042637131568
202005,879,1324.2676425492998
202006,1198,1377.1596930033563
202007,612,1395.193395297628
202008,373,1400.7755737832733
202009,331,1372.423837239471
202010,480,1411.005319243597
202011,573,1424.8483679787048
202012,776,1524.7127373369585
202101,822,1553.4679656418814
202102,804,1514.1040782846462
202103,1076,1518.3351326167517
202104,863,1516.308302675236
202105,755,1564.0171848790296
202106,426,1665.2778371498855
202107,444,1775.3595800473313
202108,438,1932.4211106273676
202109,327,1873.6324302166638
202110,248,1904.833072161421
202111,185,1915.8331687711009
202112,160,1877.7161355411163
202201,106,1843.637191907639
202202,148,1841.933193425796
202203,195,1750.869357738967
202204,240,1825.076202487994
202205,238,1806.975152514663
202206,175,1720.167260787556
202207,119,1766.4569956201142
202208,128,1716.3260297054003
202209,132,1659.83028113216
202210,119,1559.1713241238806
202211,108,1627.7918555346737
202212,130,1596.9105881642124
202301,167,1537.0395236507097
202302,307,1569.7934454596052
202303,385,1608.589997306363
202304,309,1565.9147806043095
202305,388,1612.098359223443
202306,380,1567.322865119532
202307,365,1563.5850598628303
202308,386,1613.9897770675166
202309,337,1569.5871635591598
202310,295,1556.9789998434662
202311,258,1558.4563361829464
202312,212,1603.0143479180485
202401,340,1578.3728930354885
202402,303,1589.4393967690198
202403,460,1617.6899866387541
202404,435,1648.6402540138406
