년월,데이터 건수,평당 거래가
201512,308,1061.737957313162
201601,330,1006.9213080190291
201602,349,1027.3582127754762
201603,568,978.8859245882343
201604,697,1107.3894394716524
201605,643,1063.7191731592204
201606,691,1092.622987270054
201607,669,1093.4760803407264
201608,764,1076.2399212379125
201609,1104,1083.4793512649844
201610,960,1155.047520366143
201611,444,1165.544542877388
201612,331,1109.1452304630748
201701,276,1087.831515349802
201702,391,1086.0786979454128
201703,502,1069.5384972278657
201704,470,1143.1799854751619
201705,563,1081.6097918531918
201706,664,1105.340541034491
201707,597,1106.9771246054647
201708,592,1156.271753656462
201709,677,1153.797736911591
201710,480,1143.3465169095766
201711,480,1131.4398805376404
201712,388,1089.666999011747
201801,454,1162.2683743018163
201802,391,1109.8186810044708
201803,622,1127.2734189567773
201804,391,1088.8219837196414
201805,408,1088.2054249299379
201806,394,1102.9387605294064
201807,425,1088.6203602707885
201808,544,1158.8340307552207
201809,722,1238.723854569962
201810,665,1211.0747172067568
201811,391,1159.6325064570322
201812,340,1117.9275399288244
201901,337,1037.55207349497
201902,349,1078.82104614313
201903,470,1077.5969404502528
201904,409,1084.9349039447
201905,439,1098.1151784433057
201906,416,1108.2362028812508
201907,544,1151.6890885563755
201908,509,1193.751770725845
201909,520,1171.0111884109833
201910,748,1191.9465628994574
201911,796,1325.0033582775197
201912,849,1315.2860064669917
202001,1062,1399.761878990236
202002,1529,1368.0888136261692
202003,912,1175.2347801882256
202004,686,1154.4003101827846
202005,980,1259.3773105112266
202006,1293,1338.530761553275
202007,604,1226.6303386637517
202008,458,1204.0312471322957
202009,451,1208.8907226591236
202010,625,1212.3194324263732
202011,930,1299.8778578828417
202012,839,1425.2542280986956
202101,768,1501.735895936505
202102,710,1613.9214651819202
202103,894,1583.363274632906
202104,738,1553.9015522490035
202105,810,1580.469507924562
202106,659,1655.4651246999924
202107,789,1964.9607616868677
202108,614,1694.790477343729
202109,402,1701.2047291635838
202110,391,1638.9613933520563
202111,252,1626.3038463437927
202112,197,1610.388625305519
202201,166,1626.321228141079
202202,144,1614.3453981252387
202203,240,1737.2985546182986
202204,309,1744.7873465301623
202205,276,1635.898172628324
202206,202,1627.7291342560864
202207,158,1643.4063679751741
202208,203,1624.8717172918412
202209,137,1685.524098656492
202210,201,1600.0405217932625
202211,222,1601.3673437180391
202212,211,1531.3122643173176
202301,321,1641.0375302098353
202302,540,1657.6652710624526
202303,602,1594.4802267042992
202304,601,1665.4024183344475
202305,569,1620.9355680608162
202306,545,1648.3671711465072
202307,578,1706.3646573068665
202308,627,1719.0787958897465
202309,572,1660.0298837063417
202310,459,1621.6966431267163
202311,354,1623.604571588205
202312,354,1658.1451326615631
202401,482,1648.661039688658
202402,499,1671.6308629592572
202403,611,1698.180975887014
202404,615,1739.0181287020807
