년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,48.81104732462661,63.924050632911374,17.377765519639894,2331.863581322767,20.487054285714287,66.46153846153847,39.86254793480797
201606,2016-06-01,48.689372501762286,70.93926178066162,40.59572119775392,2329.1579000405623,23.845336964285718,66.61538461538463,49.392728403005876
201607,2016-07-01,43.44815444305876,76.74981384959047,11.915380849706073,2301.238435064661,21.374371312500003,68.30769230769232,39.47820810777636
201608,2016-08-01,40.22930942349922,78.03425167535369,28.1728381287602,2388.878654727919,23.104018875,69.61538461538463,45.51288746751884
201609,2016-09-01,40.69808406158818,67.06626954579299,34.34916114681227,2413.2699156052176,24.396310803571428,67.23076923076924,45.959889530534966
201610,2016-10-01,38.53991814919947,61.510864414810804,35.373386116204664,2505.091489317987,26.48479537815126,68.23076923076921,45.91744457558791
201611,2016-11-01,43.04983785985285,48.26880119136261,21.601258168161024,2443.010175716626,23.201996651583716,56.76923076923077,36.64787743030354
201612,2016-12-01,44.50246929614695,30.93819806403574,10.411901055476246,2386.246934383215,21.996848397435897,48.3076923076923,28.450699125977984
201701,2017-01-01,53.09820913294192,6.142963514519725,26.767966098056554,2625.04093808075,23.59480657894737,52.15384615384615,33.351617240556145
201702,2017-02-01,55.71894170744659,6.1615785554728175,22.941655663069433,2452.2163257076622,25.81475013368984,56.230769230769226,33.69454934268501
201703,2017-03-01,55.238253726351836,19.48994787788533,5.821960749563855,2489.768729845296,23.67493076923077,57.53846153846154,29.314566462876996
201704,2017-04-01,49.71133787713157,40.72970960536112,39.43643934185636,2616.1883718059325,21.80673236111111,60.92307692307693,43.60966378989721
201705,2017-05-01,39.25183902558308,68.29858525688756,49.14334350927441,2656.0885627036027,24.79266171052632,66.3076923076923,50.9397955970569
201706,2017-06-01,44.980642012049685,88.55174981384958,7.229436214645609,2565.463166502724,31.5220919138756,65.69230769230771,40.37324236352164
201707,2017-07-01,41.85942448225329,100.0,12.18969508223126,2626.661428573345,29.10006084090909,72.38461538461539,44.45998431135281
201708,2017-08-01,42.30477256883756,67.60982874162322,32.28434289439826,2676.674574580897,35.15907583333333,58.76923076923077,45.00501424415468
201709,2017-09-01,36.882147483324864,41.04616530156366,28.7592332779945,2798.9931039983867,28.666826825396825,59.46153846153845,38.97217938460328
201710,2017-10-01,39.737292022562656,16.08339538346984,26.32991867972261,2794.253083888212,27.565062777777776,61.30769230769231,35.65473995724672
201711,2017-11-01,41.02260502161165,29.13253909158599,29.93367212839929,2928.686839338969,29.103279375,61.6923076923077,39.03474708841638
201712,2017-12-01,40.62542602869177,37.192851824274,42.69045388048841,3003.272870444058,28.33687660326087,57.53846153846154,43.30409046489618
201801,2018-01-01,38.90774128755482,57.24125093075203,45.78990379591208,3119.209873802501,35.48212919642857,66.76923076923077,50.059717427629565
201802,2018-02-01,40.679720439140695,53.12732688011913,46.86112281228024,3213.8499751806257,36.00333674242424,66.38461538461539,50.12392825672305
201803,2018-03-01,47.76865536698871,45.66269545793,18.663233788686092,3127.26356266666,36.22168649456522,58.6923076923077,38.31738057641668
201804,2018-04-01,47.114334959967984,13.64482501861503,17.404175111569035,3206.260289302615,32.36280760869565,52.53846153846153,31.67539281229177
201805,2018-05-01,46.86071024853711,4.579300074460157,22.455435663176694,3296.2101360124125,30.144439642857144,53.692307692307686,32.23414664199199
201806,2018-06-01,42.534729535840796,0.0,21.073258066272956,3326.125370883298,29.60659875,51.0,29.883471327675633
201807,2018-07-01,46.704517613863395,14.072970960536107,26.775656943254404,3541.8835558954115,29.701154433333333,55.30769230769232,35.250762243862056
201808,2018-08-01,47.107204064901566,43.205510052122115,45.99209821361045,3608.654074887109,36.39499023076923,67.3076923076923,49.67249525093008
201809,2018-09-01,45.52988833805649,56.01265822784809,49.2115332779104,3834.534344652445,47.30641759615385,66.3076923076923,53.58974068435286
201810,2018-10-01,47.29626173454984,53.03425167535367,28.63699937606982,3835.772368213996,42.27940324074074,57.76923076923077,43.34848213628118
201811,2018-11-01,53.94126376200663,17.777364110201045,12.812454262463083,3562.1682191069103,34.58048925925927,51.15384615384615,31.42472240323847
201812,2018-12-01,60.69913216312347,5.528667163067752,20.004032676918417,4036.6286802080926,32.10134660714286,41.46153846153847,30.460472959151392
201901,2019-01-01,60.67558055329353,11.094564408041695,22.132044556472703,4020.53685488522,35.064515517241375,39.84615384615385,31.93869950405702
201902,2019-02-01,56.682605571588496,15.804169769173484,16.21010261610233,3835.4948900566847,33.27597240740741,41.92307692307693,30.20654792511141
201903,2019-03-01,43.38637432894614,21.407297096053608,12.05243841845781,3374.525492458922,34.36739214285714,41.15384615384615,27.76113273447531
201904,2019-04-01,62.9533235789412,25.59568131049888,19.58870912440084,3880.089659340508,33.739914642857144,40.07692307692308,33.00489177037964
201905,2019-05-01,62.3250238950263,34.15860014892033,29.043994572006948,3707.3348740156353,31.119004741379317,45.07692307692307,38.16293258613342
201906,2019-06-01,50.079841194769934,47.22635889798957,23.201723504278394,3985.085500719664,29.96956120689655,54.76923076923078,38.471620111434554
201907,2019-07-01,39.63361433763764,70.38346984363365,48.998186718984336,4072.7714614318425,33.94349733333334,61.07692307692307,51.262256243534196
201908,2019-08-01,35.17759058678466,89.14743112434847,20.687734216227312,4017.668304496929,34.46540133333333,60.15384615384616,42.989606428032744
201909,2019-09-01,30.487283553638928,91.30677587490692,5.422873242754682,3891.859227009672,40.24567068965517,63.46153846153846,39.02449828236526
201910,2019-10-01,36.077310973745924,87.99329858525688,28.16057605645319,4125.715702828958,43.05274387931034,69.6923076923077,49.24601631960744
201911,2019-11-01,36.618915682956136,93.20551005212211,45.25279521911006,4123.382698349986,47.115012500000006,69.0,56.38378341857331
201912,2019-12-01,36.15934534909953,95.45793000744601,16.619430477848717,4114.918621893562,51.44784202380953,65.84615384615384,46.44767485192513
202001,2020-01-01,26.66074514444495,66.86522710349962,17.596247845190774,4121.907589946206,56.78858106481482,58.84615384615385,41.07925889807052
202002,2020-02-01,28.793898547500778,44.173492181682796,20.725531610005635,4173.594140564447,57.306395384615385,61.61538461538461,40.37466536618838
202003,2020-03-01,37.41850296697485,22.207743857036483,29.480564489597107,4378.088248330153,53.82355296296296,53.692307692307686,39.26808829188177
202004,2020-04-01,47.87224381531776,12.9746835443038,18.092396278529176,4181.079140579174,52.69643442307692,47.84615384615385,33.8042082424379
202005,2020-05-01,48.72255838017851,4.690990320178704,12.766720142925934,4187.606525972234,52.65111542307693,55.76923076923077,32.98502064333796
202006,2020-06-01,54.68383465808869,36.26209977661951,54.14539154017547,4589.105965982416,70.11567679999999,70.6923076923077,58.50955728647686
202007,2020-07-01,47.35144179200399,62.43484735666418,100.0,4952.949404667742,77.50155853333334,76.46153846153847,79.46390453896814
202008,2020-08-01,46.61094668147164,66.60461653015636,40.92209417209316,4991.614505286755,69.57987455357144,70.6923076923077,56.584736467798734
202009,2020-09-01,44.643628440369184,29.542069992553984,23.237101722147877,5131.644112381869,61.15928885093168,67.15384615384615,43.36855277296844
202010,2020-10-01,37.99889225720168,17.609828741623225,22.1865169651073,5167.267177511001,70.36712782608696,70.46153846153845,42.88682485193833
