년월,데이터 건수,평당 거래가
201512,413,1353.172281578532
201601,380,1324.3044947087815
201602,353,1235.1169498380602
201603,429,1247.2434897161465
201604,485,1233.6802533859443
201605,508,1259.0338973980613
201606,648,1269.1826019195398
201607,706,1247.1752316955158
201608,698,1222.9609041675642
201609,657,1261.1937729973704
201610,760,1287.2091985011864
201611,438,1331.000941251346
201612,344,1370.0238706679754
201701,265,1277.8961882981744
201702,377,1229.7901601811088
201703,468,1234.8135611981006
201704,390,1221.06263576032
201705,511,1234.264007913818
201706,815,1311.8726644881635
201707,571,1394.7160526742957
201708,562,1456.506368592317
201709,529,1432.832997218568
201710,413,1379.9364280788743
201711,407,1464.1453572633159
201712,261,1482.2493004242103
201801,352,1470.3030119541777
201802,332,1404.130091540767
201803,440,1456.499018418079
201804,308,1440.6624754722357
201805,249,1427.7781441816921
201806,266,1438.1081358131817
201807,233,1381.0130293562354
201808,344,1426.3822315751386
201809,449,1466.7310486531146
201810,463,1469.8804123732846
201811,282,1467.3394268149436
201812,209,1492.2373277709594
201901,303,1498.5692104516656
201902,270,1427.8955970014479
201903,294,1340.368275562044
201904,323,1391.9890091848577
201905,295,1287.0323763854824
201906,354,1365.8004906187605
201907,408,1436.577958096518
201908,446,1458.0042556000224
201909,495,1553.570842467274
201910,751,1612.812055687853
201911,883,1704.203467402971
201912,903,1659.7477785475678
202001,772,1673.1172796916674
202002,2013,1646.9646105154868
202003,1142,1497.35704583397
202004,775,1510.2130920141801
202005,1091,1455.5078422589183
202006,1592,1649.1327780693084
202007,509,1667.3095462194578
202008,374,1797.6782178359354
202009,361,1867.4811496243428
202010,507,1828.6706161865088
202011,750,2022.178936067452
202012,1241,2065.293668524497
202101,1008,1875.502791672995
202102,776,1805.6830052475657
202103,769,1888.993160282757
202104,567,1889.1938278872703
202105,585,2048.691322626684
202106,404,2441.5275366890514
202107,554,2723.693042098748
202108,521,2825.674958816662
202109,287,2818.7705824914324
202110,182,2740.8369672973586
202111,110,2518.640852855496
202112,91,2776.938583788511
202201,69,2530.9298338149256
202202,74,2479.8263267623374
202203,146,2524.6012347055175
202204,161,2629.2615504459836
202205,129,2355.52226465901
202206,97,2562.231507568073
202207,84,2644.9549961478956
202208,117,2450.24561335887
202209,94,2454.527221701078
202210,122,2294.586979206224
202211,196,2308.0612771920414
202212,168,2223.449283644625
202301,311,2223.2419146277275
202302,534,2302.9160015982247
202303,532,2250.3873018688955
202304,437,2245.464121303675
202305,507,2325.7387409599287
202306,444,2242.8385722074368
202307,418,2324.148780190177
202308,414,2164.8699076747703
202309,365,2193.2750348272098
202310,281,2156.88617845984
202311,212,2201.1220023307496
202312,214,2170.8078866866454
202401,342,2109.24846257509
202402,326,2161.473255390424
202403,512,2194.1228002967023
202404,420,2332.366777578236
