년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,9483.7573,2674309,188,930.5615296587146
201512,20~30평,6677.9846,2022500,81,999.440759417145
201512,30~40평,1483.2174,488362,13,1086.5531917303558
201512,40~50평,434.3053,113326,3,861.0896528317752
201601,20평 미만,11430.9682,3323600,228,959.4882785169502
201601,20~30평,7736.596399999999,2382419,94,1016.2069072130995
201601,30~40평,2451.9687,764619,21,1029.068070893401
201601,40~50평,1146.5203999999999,340981,8,981.4367890880966
201602,20평 미만,10643.7202,3018220,215,935.7748806662544
201602,20~30평,6826.4898,2106719,83,1018.4110580521192
201602,30~40평,1379.2328,385037,12,921.252815333278
201602,40~50평,132.9,35000,1,869.0744920993227
201603,20평 미만,18514.0516,5313040,373,947.0121602124086
201603,20~30평,13128.427599999999,3946030,160,991.8856543033378
201603,30~40평,2718.2788,809980,24,983.3185617310484
201603,40~50평,2435.3201,760471,17,1030.4823172937306
201603,50평 이상,234.03,49000,1,690.9370593513652
201604,20평 미만,15469.3236,4385960,311,935.6367721210512
201604,20~30평,11030.3167,3359119,132,1004.9659498897254
201604,30~40평,1962.905,597250,17,1004.085781023534
201604,40~50평,417.4357,118500,3,936.7909836173571
201605,20평 미만,18475.2427,5444250,372,972.4378343349179
201605,20~30평,13654.5601,4235838,165,1023.7067542000126
201605,30~40평,4323.4519,1393135,37,1063.3506758800763
201605,40~50평,2025.7812,655227,14,1067.365567416659
201606,20평 미만,17705.7879,5197146,350,968.642677573247
201606,20~30평,15028.2847,4633080,182,1017.3592199780456
201606,30~40평,3748.271,1156732,33,1018.3937073920215
201606,40~50평,1145.2663,368108,8,1060.6759318771537
201607,20평 미만,20331.7097,6043910,408,980.975200526299
201607,20~30평,14329.7284,4339700,174,999.3915865146473
201607,30~40평,3404.8474,1039671,29,1007.655820346016
201607,40~50평,558.372,151500,4,895.3708280501172
201607,50평 이상,234.03,48500,1,683.8866811947187
201608,20평 미만,19023.0609,5768220,373,1000.6342354715375
201608,20~30평,14270.515,4540471,172,1049.9659122323194
201608,30~40평,2847.9528,869698,26,1007.7426142736634
201608,40~50평,683.4698,197937,5,955.7000177623064
201609,20평 미만,16534.444,4991547,331,996.2297552914388
201609,20~30평,15912.8631,4975779,192,1031.8740629396855
201609,30~40평,4158.2996,1288873,36,1022.8413796831761
201609,40~50평,1263.4673,332720,9,869.0181376280967
201610,20평 미만,19757.1792,6135193,396,1024.748355777428
201610,20~30평,14006.4817,4571374,169,1077.0395109287151
201610,30~40평,3092.5774,922683,27,984.568373292775
201610,40~50평,269.67,74700,2,914.1172544220714
201611,20평 미만,10895.8116,3373604,222,1021.7589665371967
201611,20~30평,6293.8864,2039140,75,1069.1584773439824
201611,30~40평,2036.4967,628700,18,1018.7642336960331
201611,40~50평,551.9325,153300,4,916.5794730333872
201612,20평 미만,7520.4546,2238343,151,982.1922068381346
201612,20~30평,6640.0107,2129350,80,1058.2595898527693
201612,30~40평,1793.2241,581070,16,1069.320337597515
201612,40~50평,132.9,42000,1,1042.8893905191874
201701,20평 미만,8070.1852,2397910,160,980.5354900653332
201701,20~30평,4426.5908,1368416,54,1020.1468814329979
201701,30~40평,1058.24,322800,9,1006.6147565769578
201701,40~50평,149.01,38000,1,841.554258103483
201702,20평 미만,13053.3428,3743036,259,946.272459802404
201702,20~30평,7590.7588,2346567,91,1020.1445341669926
201702,30~40평,1356.7674,441700,12,1074.3256360670223
201702,40~50평,419.0325,120300,3,947.3966816416387
201702,50평 이상,234.03,77000,1,1085.7582361235739
201703,20평 미만,16194.868,4903800,329,999.2387711959121
