년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,7708.9025,2193050,152,938.7931680287822
201512,20~30평,11982.3169,3993750,144,1099.9020565046146
201512,30~40평,5702.5652,1714950,49,992.4191660272467
201512,40~50평,2504.2632,739437,17,974.3952233135878
201512,50평 이상,385.613,140500,2,1202.3712893496847
201601,20평 미만,8858.936,2572180,179,958.1505047558759
201601,20~30평,11618.5928,3790730,139,1076.6716086306078
201601,30~40평,4378.7294,1372449,38,1034.3369699895134
201601,40~50평,4177.3308,1153545,29,911.2753292126158
201601,50평 이상,170.6445,62940,1,1217.1619946731362
201602,20평 미만,10612.2921,2961380,208,920.8711848404548
201602,20~30평,10422.452299999999,3366400,127,1065.8835061303184
201602,30~40평,3058.2945,932760,26,1006.4786108728247
201602,40~50평,1265.4879,339900,9,886.3537928730887
201603,20평 미만,18378.0235,5072605,354,910.8485741135329
201603,20~30평,18497.7199,5890830,222,1050.9262279401257
201603,30~40평,6682.6891,2032500,57,1003.6753019080298
201603,40~50평,2395.8446,670650,17,923.7431342583739
201603,50평 이상,199.069,83000,1,1375.904837016311
201604,20평 미만,16964.2977,4809866,337,935.6448513633428
201604,20~30평,18951.4937,6139470,229,1069.0582663676796
201604,30~40평,6441.9089,1855300,56,950.4154894211557
201604,40~50평,2730.7554,719900,19,869.9680681763001
201604,50평 이상,358.15779999999995,126900,2,1169.2332262483185
201605,20평 미만,16023.5706,4631699,313,953.8826945350121
201605,20~30평,18210.9081,5968130,220,1081.4852774969524
201605,30~40평,6239.4081,1882200,54,995.4886586117038
201605,40~50평,2207.627,607550,15,908.1765171380854
201605,50평 이상,331.52,121700,2,1211.4201254826255
201606,20평 미만,15803.1754,4670532,314,975.2948511854142
201606,20~30평,23027.666,7782856,278,1115.329048111085
201606,30~40평,7878.6272,2414850,68,1011.4712624046991
201606,40~50평,2222.0741,618300,16,918.2367050675763
201607,20평 미만,20298.7582,6539498,402,1063.1361380520311
201607,20~30평,22907.7888,7779917,274,1120.742221091195
