년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,2324.416,654248,45,928.8433739915746
201512,20~30평,1066.6811,299395,14,926.2407480548778
201512,30~40평,114.81,29300,1,842.1740266527305
201601,20평 미만,2194.9847,606430,42,911.7234393478916
201601,20~30평,1142.704,323750,14,934.9534087567733
201601,30~40평,338.49,88400,3,861.827528139679
201602,20평 미만,2862.8177,809120,52,932.6811134358991
201602,20~30평,981.981,243600,12,818.6309103740296
201602,30~40평,114.53,30000,1,864.4023399982538
201603,20평 미만,3079.291,904950,58,969.8125315210546
201603,20~30평,1964.9229,538145,24,903.7904235326484
201603,30~40평,208.14,46500,2,737.2441625828769
201604,20평 미만,3146.561,901900,61,945.880280089914
201604,20~30평,1280.297,323950,16,834.9898500113644
201604,30~40평,317.07,74500,3,775.3808307313842
201605,20평 미만,3516.571,1006350,67,944.3730838933722
201605,20~30평,2991.9113,869636,37,959.1857886963426
201606,20평 미만,3426.3654,987220,65,950.8110255841364
201606,20~30평,1668.4148,443542,21,877.2929849339624
201606,30~40평,572.9300000000001,145750,5,839.50046253469
201607,20평 미만,3045.6757000000002,848656,60,919.5216680488995
201607,20~30평,2745.735,816204,34,980.9661893809854
201607,30~40평,322.76,76500,3,782.1601189738504
201608,20평 미만,5691.7894,1687618,106,978.4514163507173
201608,20~30평,2866.6433,785501,35,904.2468939194491
201608,30~40평,1229.17,315400,11,846.7665172433431
201609,20평 미만,3778.212,1126183,74,983.640912685683
201609,20~30평,2869.0112,805628,35,926.6511054400902
201609,30~40평,317.07,71600,3,745.1982212129814
201610,20평 미만,3610.919,1135912,66,1038.1040394425906
201610,20~30평,2491.6981,718018,31,950.941608857028
201610,30~40평,905.26,237700,8,866.5024412875858
201611,20평 미만,2276.2997,694700,44,1007.1213381963719
201611,20~30평,1879.4447,534482,23,938.4636855769152
201611,30~40평,214.07999999999998,43400,2,669.0022421524664
201612,20평 미만,1854.604,568588,37,1011.7202378513148
201612,20~30평,742.612,223700,9,994.0722746198554
201612,30~40평,322.76,77300,3,790.3395711984138
201701,20평 미만,1526.0637,444800,30,961.847136525166
201701,20~30평,1278.5142,381545,16,984.8138565844635
