년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,5850.5513,1534961,112,865.7938440775657
201512,20~30평,6850.6841,1875050,84,903.2185559395446
201512,30~40평,2558.351,617850,21,796.9606203370843
201512,40~50평,1157.7026,257000,8,732.571560260813
201512,50평 이상,167.26,32000,1,631.352385507593
201601,20평 미만,5935.2593,1655065,112,920.2149769598102
201601,20~30평,6962.1085,1835600,87,870.064004317083
201601,30~40평,2160.4378,600200,18,916.7864032003142
201601,40~50평,898.9713,195900,6,719.1219563961607
201602,20평 미만,6841.5721,1812100,127,874.0578791824761
201602,20~30평,6486.7468,1707400,79,868.6048914380318
201602,30~40평,1922.567,453200,16,777.8974672924272
201602,40~50평,734.91,140600,5,631.3426133812303
201602,50평 이상,334.52,61000,2,601.7577424369246
201603,20평 미만,11344.1428,2895784,215,842.3807217941579
201603,20~30평,11226.8388,3013385,139,885.7498247859406
201603,30~40평,3753.0362999999998,910000,31,800.1521328210974
201603,40~50평,2014.1113,416950,14,683.1474506895422
201604,20평 미만,9273.7464,2515442,178,895.1030405575895
201604,20~30평,11031.0691,3063725,134,916.5287977391057
201604,30~40평,3817.7482,905700,31,782.8724796465099
201604,40~50평,1363.8413,284800,9,689.1124355890967
201605,20평 미만,8593.5866,2285747,163,877.7435372560275
201605,20~30평,11067.4046,3014960,135,898.9793325166769
201605,30~40평,1794.9091,428400,15,787.6276297223072
201605,40~50평,1157.54,232250,8,662.1153480657256
201605,50평 이상,167.26,29500,1,582.0279803898122
201606,20평 미만,10940.1753,3095775,206,933.8111337210472
201606,20~30평,14089.1966,3937950,172,922.3545791106358
201606,30~40평,3221.9817000000003,772750,27,791.461664726401
201606,40~50평,726.0699999999999,164900,5,749.4731912900961
201606,50평 이상,167.26,27000,1,532.7035752720316
201607,20평 미만,11241.1843,3371965,213,989.8854251504443
201607,20~30평,12954.7925,3732223,157,950.7165707208355
201607,30~40평,3300.3445,821128,28,821.0422881611297
201607,40~50평,874.6951,179100,6,675.6983090450603
201607,50평 이상,334.52,60000,2,591.8928614133683
201608,20평 미만,9789.2217,2759208,181,930.1440583371402
201608,20~30평,15191.9076,4195500,186,911.3503296978978
201608,30~40평,2647.8098,658550,22,820.7594820443674
201608,40~50평,1546.52,312850,11,667.5665364819077
201608,50평 이상,334.52,59130,2,583.3104149228745
201609,20평 미만,12192.2285,3344350,224,905.1958794899555
201609,20~30평,15558.479299999999,4483261,188,950.9130689912606
201609,30~40평,4861.0502,1299193,40,881.9774994300615
201609,40~50평,1243.7,280900,9,745.3324756774141
201610,20평 미만,11443.5271,3361867,210,969.4704266484413
201610,20~30평,17437.4569,5030730,212,952.0544822106483
201610,30~40평,4572.4644,1149650,38,829.715590568622
201610,40~50평,2023.2613000000001,456800,14,745.0545315130576
201610,50평 이상,334.52,61500,2,606.6901829487026
201611,20평 미만,6434.2552,1816280,123,931.5334586045018
201611,20~30평,8435.085,2461430,102,962.9682451332739
201611,30~40평,3338.3928,851225,28,841.4355854110397
201611,40~50평,973.78,205300,7,695.732095545195
201611,50평 이상,501.78,93000,3,611.6226234604807
201612,20평 미만,5803.7719,1548575,117,880.5131538680904
201612,20~30평,8329.3793,2421700,102,959.4484429349974
201612,30~40평,2596.0376,701760,22,892.0548762467847
201612,40~50평,753.749,186000,5,814.3294385796863
201612,50평 이상,334.52,63000,2,621.4875044840369
201701,20평 미만,4978.4569,1430050,98,947.9172150712001
201701,20~30평,7797.0149,2296150,94,971.8199974197817
201701,30~40평,3553.3471,950356,31,882.5973685486566
201701,40~50평,570.76,102100,4,590.318172261546
201701,50평 이상,167.26,32250,1,636.284826019371
201702,20평 미만,6985.6031,1942297,138,917.5414074126255
201702,20~30평,8674.3183,2472300,105,940.5453798023528
201702,30~40평,6065.1361,1786357,53,971.9448999668779
201702,40~50평,2631.7276,769046,19,964.3292109715305
201702,50평 이상,501.78,91700,3,603.073059906732
201703,20평 미만,11864.5671,3226860,221,897.5159321236423
