년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,11847.7221,3935782,235,1096.251286987901
201512,20~30평,9016.8479,3069625,109,1123.426125442351
201512,30~40평,4005.7261,1314650,35,1083.0358570946723
201512,40~50평,1527.228,416950,11,900.9362059888897
201601,20평 미만,14107.491,4746605,274,1110.3176674009574
201601,20~30평,10119.156,3398950,123,1108.4457043650675
201601,30~40평,3454.2072000000003,1088650,30,1040.049074068284
201601,40~50평,808.758,221400,6,903.3851906256258
201601,50평 이상,168.92,59500,1,1162.3845607388114
201602,20평 미만,14883.7,5036315,291,1116.6470366911453
201602,20~30평,12845.4898,4248100,155,1091.3347967471043
201602,30~40평,4006.7177,1294700,35,1066.336667542113
201602,40~50평,1630.7366,476500,12,964.2575017939746
201603,20평 미만,25587.0676,8868803,492,1143.8219634046693
201603,20~30평,18505.5142,6207470,224,1106.948489980354
201603,30~40평,5115.0027,1712500,44,1104.8381264784082
201603,40~50평,1968.7298,517650,14,867.6889027635991
201604,20평 미만,25322.795,8826160,482,1150.2019425580786
201604,20~30평,20565.3922,7086280,248,1137.091078671478
201604,30~40평,7191.7114,2408850,62,1105.328698256718
201604,40~50평,1585.2646,388300,11,808.3130097019765
201605,20평 미만,21239.097,7317045,416,1136.8773587690662
201605,20~30평,19675.1929,6608300,237,1108.369819337324
201605,30~40평,6200.4947,1973550,53,1050.3540951337318
201605,40~50평,2499.5236,704800,18,930.5133186179958
201605,50평 이상,171.67,34000,1,653.5795421448128
201606,20평 미만,26784.912,9040698,506,1113.8473555559935
201606,20~30평,25748.9313,8805430,312,1128.5097102263037
201606,30~40평,7108.3574,2346650,61,1089.4141310339855
201606,40~50평,3127.6848,862600,22,910.1236799820749
201606,50평 이상,171.67,36200,1,695.8699831071242
201607,20평 미만,27072.8838,9387910,515,1144.322238770884
201607,20~30평,25183.9628,8728850,304,1143.7915958166836
201607,30~40평,5763.8256,2015350,51,1153.8612479877947
201607,40~50평,3218.626,944800,23,968.686638335737
201607,50평 이상,509.51,162500,3,1052.4817962355987
201608,20평 미만,25130.3452,8754890,479,1149.6514182383773
201608,20~30평,23717.2858,7983230,286,1110.7788311932388
201608,30~40평,8038.5953,2659400,69,1091.7355175225703
201608,40~50평,1823.6146,520100,13,941.1692580219526
201608,50평 이상,168.92,59800,1,1168.2453232299313
201609,20평 미만,21010.4748,7513673,406,1180.1313933181557
201609,20~30평,21907.2163,7646230,266,1151.792115185351
201609,30~40평,6569.3266,2233745,56,1122.0873841163566
201609,40~50평,2530.163,766700,18,999.9790527329661
201609,50평 이상,509.51,162300,3,1051.1864340248474
