년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,6239.7367,1923810,113,1017.4424507367432
201512,20~30평,12428.9698,3881604,149,1030.5997525233345
201512,30~40평,4182.1799,1587429,37,1252.580191492958
201512,40~50평,1127.0034,348100,8,1019.2782027099474
201512,50평 이상,179.73,31500,1,578.3675513269905
201601,20평 미만,7120.0114,2087870,131,967.691006786871
201601,20~30평,12440.2559,3661950,150,971.3976221341234
201601,30~40평,3601.1073,1381437,32,1265.9278716854672
201601,40~50평,2121.0086,623756,15,970.4792333232406
201601,50평 이상,370.528,72400,2,644.8095690474134
201602,20평 미만,7538.8986,2187800,136,957.66508916833
201602,20~30평,13771.8675,4297600,166,1029.7862653703282
201602,30~40평,3953.3295,1450877,35,1211.1042350504808
201602,40~50평,1259.8702,374322,9,980.468146639233
201602,50평 이상,529.808,111800,3,696.365475795005
201603,20평 미만,12612.8437,3603630,228,942.8467745144578
201603,20~30평,21524.9954,6397730,259,980.8368646620013
201603,30~40평,6180.4911,2136948,53,1140.9980672895072
201603,40~50평,3660.3207,945865,26,852.7543775057742
201603,50평 이상,379.90999999999997,74000,2,642.7838172198678
201604,20평 미만,13321.7635,3923720,237,971.9641097066465
201604,20~30평,23322.8502,6934250,280,981.1418760473794
201604,30~40평,17254.6406,7334637,150,1402.770574079648
201604,40~50평,3904.3831,1245084,28,1052.3499090035505
201604,50평 이상,350.078,77100,2,726.7808888304893
201605,20평 미만,13616.9769,4145663,241,1004.6787918102439
201605,20~30평,23950.0916,7317897,288,1008.3076300217574
201605,30~40평,10305.2018,3976480,91,1273.374772728856
201605,40~50평,3101.5984,1003743,22,1067.949964121725
201605,50평 이상,170.348,42000,1,813.6285720994669
201606,20평 미만,13413.3764,4213150,242,1036.5320844944006
201606,20~30평,28984.2632,9348780,346,1064.404286806228
201606,30~40평,9677.9327,3680224,85,1254.8898175330357
201606,40~50평,2416.3061,814893,17,1112.9164885193975
201606,50평 이상,170.348,41500,1,803.9425176697113
201607,20평 미만,12872.09,4014849,225,1029.281313291004
201607,20~30평,27407.2194,8881233,327,1069.3557953566058
201607,30~40평,11241.8519,4258926,99,1250.190442377203
201607,40~50평,2444.9391,742750,17,1002.5096330620258
201607,50평 이상,170.348,40700,1,788.4448305821024
201608,20평 미만,15820.2892,4901730,279,1022.4660747668254
201608,20~30평,30440.4027,9954151,362,1079.115103165176
201608,30~40평,10389.4979,3796806,92,1205.973562976513
201608,40~50평,4276.8405999999995,1234263,30,952.3543851505713
201608,50평 이상,179.73,42000,1,771.156735102654
201609,20평 미만,19688.436999999998,6344776,347,1063.4546967847168
201609,20~30평,49478.1305,16098477,588,1073.706172063231
201609,30~40평,15220.1983,5453686,134,1182.4526491221864
201609,40~50평,4606.4415,1371961,33,982.8565716073892
201609,50평 이상,359.46,68000,2,624.2697379402437
201610,20평 미만,16340.2349,5412310,293,1093.0456697412594
201610,20~30평,40538.9909,14065949,482,1145.0120160736415
201610,30~40평,16650.4346,6332667,147,1255.090428690672
201610,40~50평,4783.7453,1702912,34,1174.730101119723
201610,50평 이상,707.166,144500,4,674.3112649646616
201611,20평 미만,7477.0705,2461550,137,1086.403424977737
201611,20~30평,17437.2512,6086197,208,1151.8128556867955
201611,30~40평,9802.336,3709704,85,1248.8883466145212
201611,40~50평,1989.854,707117,14,1172.6921171100994
201612,20평 미만,6047.864,1827855,112,997.3639453532686
201612,20~30평,11555.3217,3883246,137,1108.9878873731398
201612,30~40평,6624.6359999999995,2602150,57,1296.2365026546363
201612,40~50평,3032.8344,931527,21,1013.5862017392046
201612,50평 이상,711.224,156700,4,727.0705150557349
201701,20평 미만,5461.3373,1616170,101,976.5668566195316
201701,20~30평,10395.6039,3370675,124,1069.9933940345686
201701,30~40평,4753.8024,1788803,41,1241.7533173023767
201701,40~50평,1439.3553,493077,10,1130.4742477413324
201702,20평 미만,8278.2308,2437360,150,971.619201532772
201702,20~30평,14858.9936,4892044,177,1086.462894768324
201702,30~40평,6198.039,2361523,54,1257.3373449247415
201702,40~50평,1418.8635,430710,10,1001.7475253962061
201703,20평 미만,11354.1886,3487503,206,1013.6135927846046
201703,20~30평,16654.679799999998,5336000,200,1057.2884145151804
201703,30~40평,8506.8256,3117484,74,1209.3461984221235
201703,40~50평,2538.905,771750,18,1003.0997615113602
201703,50평 이상,681.392,165800,4,802.9739122267357
201704,20평 미만,9646.195,3023308,172,1034.2851663272409
201704,20~30평,15395.2989,5162418,185,1106.5702270970523
201704,30~40평,10300.8117,4207492,90,1347.9251931185188
201704,40~50평,2975.1016,932486,21,1034.3188951933607
201704,50평 이상,370.528,76500,2,681.3250280680542
201705,20평 미만,12710.5783,3773055,228,979.584186189231
201705,20~30평,19521.9477,6200597,234,1048.152080645109
201705,30~40평,9085.407,3649321,80,1325.5057588504292
201705,40~50평,2731.7638,865224,19,1045.1998814831647
201705,50평 이상,370.528,71000,2,632.3408757232921
201706,20평 미만,15790.8171,5039568,280,1053.1801042771876
201706,20~30평,23938.5572,8019750,289,1105.5459516164992
201706,30~40평,8105.9676,3187339,71,1297.5895314459435
201706,40~50평,3518.97,954556,24,895.1581854917773
201707,20평 미만,12350.77,4024800,221,1075.3855832470363
201707,20~30평,22259.5158,7339701,267,1088.1195043784376
201707,30~40평,10118.0954,3824250,89,1247.2727821878414
201707,40~50평,2207.9271,634450,16,948.2582101555798
201707,50평 이상,711.224,160050,4,742.6141412550757
201708,20평 미만,12959.0324,4360830,230,1110.479436720908
201708,20~30평,20464.0895,7013550,244,1130.9916817945896
201708,30~40평,11504.1904,4504200,102,1292.0387687602945
201708,40~50평,2128.7394,625360,15,969.4413510643905
201708,50평 이상,170.348,43500,1,842.6867353887335
201709,20평 미만,14204.0637,4788030,254,1112.3928569821887
201709,20~30평,23010.4343,7689870,274,1102.8288588190617
201709,30~40평,13799.8542,5425700,122,1297.463707986132
201709,40~50평,3364.3673,1178750,24,1156.1980762326396
201709,50평 이상,540.876,119500,3,729.0950236283363
201710,20평 미만,9855.7238,3200650,178,1071.6762375179385
201710,20~30평,17424.3686,5904400,209,1118.2339198219208
201710,30~40평,8613.4354,3417329,77,1309.2552711314233
201710,40~50평,1967.8898,655700,14,1099.5585220269954
201710,50평 이상,346.02,59600,2,568.4064504941912
201711,20평 미만,9695.6421,3123597,177,1063.1446575363998
201711,20~30평,17287.19,5740540,207,1095.8277198318524
201711,30~40평,8990.3278,3611959,79,1325.8097997272137
201711,40~50평,1937.3308,577450,14,983.6136399627777
201711,50평 이상,520.426,122900,3,779.3038779768881
201712,20평 미만,7573.623,2444210,134,1064.9979540835343
201712,20~30평,13679.3801,4387265,163,1058.3794290502974
201712,30~40평,8355.824,3052990,73,1205.7299196344966
201712,40~50평,2116.6482,639400,15,996.8685396089912
201712,50평 이상,520.426,123800,3,785.0107412004779
201801,20평 미만,8737.1567,2886110,156,1090.0757909034642
201801,20~30평,16517.7025,5470455,199,1092.9184309984998
201801,30~40평,9681.7148,3931981,85,1340.2106515263183
201801,40~50평,1836.5824,681050,13,1223.7212988646738
201801,50평 이상,170.348,42000,1,813.6285720994669
201802,20평 미만,8244.1589,2672860,149,1069.9015032327918
201802,20~30평,14155.0987,4655087,171,1085.2476146987233
201802,30~40평,5856.8733,2271254,53,1279.7166365200353
201802,40~50평,2421.7225,741450,17,1010.3490387523756
201802,50평 이상,200.18,43900,1,723.6986711959236
201803,20평 미만,13200.4272,4410813,237,1102.6675636679395
201803,20~30평,21066.531,6848154,253,1072.739892486333
201803,30~40평,11359.5432,4570000,102,1327.6062016296569
201803,40~50평,3750.2505,1115000,26,981.1344602180574
201803,50평 이상,690.774,159000,4,759.5827289388425
201804,20평 미만,8707.4451,2810336,160,1065.0780675034057
201804,20~30평,15082.2548,4845855,181,1060.2739253549805
201804,30~40평,4536.8695,1637950,40,1191.401912706548
201804,40~50평,1098.8066,460000,8,1381.4988006078595
201804,50평 이상,370.528,76900,2,684.887511874946
201805,20평 미만,9334.3814,2930597,165,1036.059025828964
201805,20~30평,13734.1254,4479160,165,1076.2409377738752
201805,30~40평,6976.4325,2448300,61,1158.0976380119782
201805,40~50평,1979.5202,778100,14,1297.147662347674
201805,50평 이상,570.7080000000001,112400,3,649.9295611766436
201806,20평 미만,8263.4086,2643370,148,1055.632296822403
201806,20~30평,14562.9802,4716290,174,1068.7206043169651
201806,30~40평,6354.0679,2410750,56,1252.0286413684687
201806,40~50평,2140.3934,715200,15,1102.675797822961
201806,50평 이상,170.348,39500,1,765.1982999506891
201807,20평 미만,8068.1359,2625348,144,1073.8104200748526
201807,20~30평,15855.9004,5240950,192,1090.7696544309774
201807,30~40평,7403.8476,2726968,65,1215.4483568786584
201807,40~50평,2653.3667,719350,18,894.6577191912448
201807,50평 이상,1051.92,244300,6,766.3985854437599
201808,20평 미만,9701.6593,3406680,172,1158.775385979592
201808,20~30평,20423.334,6916560,245,1117.5769832682558
201808,30~40평,10486.565200000001,4238730,93,1333.8789902340948
201808,40~50평,4630.4847,1356248,32,966.5550563205619
201808,50평 이상,340.696,88700,2,859.153027919318
201809,20평 미만,11970.0416,4355120,211,1200.6554764187283
201809,20~30평,27938.6671,10184570,333,1202.9593566401743
201809,30~40평,17600.477,7129080,155,1336.6662733061155
201809,40~50평,3076.5668,1090400,22,1169.5894267597243
201809,50평 이상,170.348,46900,1,908.5519055110714
201810,20평 미만,11137.4389,3966690,197,1175.322003337769
201810,20~30평,25128.0576,8745385,301,1148.5078138311812
201810,30~40평,16438.6178,6741912,147,1353.4172927847983
201810,40~50평,2796.3277,914250,20,1078.923975898819
201811,20평 미만,6755.6698,2304210,123,1125.5572319416797
201811,20~30평,13878.0972,4634460,166,1102.003954836114
201811,30~40평,9154.8178,3718400,80,1340.3565497502307
201811,40~50평,2572.6095,809000,18,1037.740084532845
201811,50평 이상,720.606,159000,4,728.1371512310471
201812,20평 미만,6587.2335,2223875,118,1114.0925093971543
201812,20~30평,12837.4853,4215240,154,1083.5682904345758
201812,30~40평,6144.5385,2349350,54,1261.7473224392688
201812,40~50평,1638.7159,495550,11,997.9246555183848
201812,50평 이상,529.808,112600,3,701.3484130099961
201901,20평 미만,6400.3975,1876340,115,967.42772616857
201901,20~30평,12884.8835,4063795,156,1040.795091395277
201901,30~40평,5744.9987,2056750,50,1181.4232438381578
201901,40~50평,1682.9251,468500,12,918.6683352693474
201901,50평 이상,761.089,172800,4,749.2422042625763
201902,20평 미만,7277.4942,2228815,133,1010.6623650761549
201902,20~30평,14065.2627,4696866,168,1101.9813942046032
201902,30~40평,3947.1991,1432550,35,1197.6631733626002
