년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,5213.997,1672920,104,1058.8107357944393
201512,20~30평,10706.8794,3819620,125,1177.2567457890673
201512,30~40평,12016.2168,5248760,106,1441.4610095916378
201512,40~50평,10265.9801,4605585,75,1480.4656108772313
201512,50평 이상,722.836,614770,3,2806.6407871218366
201601,20평 미만,5247.6729,1719180,105,1081.106636810385
201601,20~30평,8037.7245,2797700,94,1148.634790854053
201601,30~40평,14073.095800000001,6183799,124,1450.0389246266623
201601,40~50평,7683.611900000001,3347773,56,1437.820004938042
201601,50평 이상,179.169,86000,1,1583.9793714314415
201602,20평 미만,6053.166,2017120,125,1099.6718081083518
201602,20~30평,8890.278,3188933,105,1183.7063925335067
201602,30~40평,7993.1453,3194000,71,1318.6548729446965
201602,40~50평,7072.0823,2800805,50,1306.9215130598805
201602,50평 이상,401.58000000000004,181026,2,1487.5885253249662
201603,20평 미만,7677.6643,2505014,154,1076.700657516375
201603,20~30평,12043.869,4150541,143,1137.2413050988848
201603,30~40평,9993.0751,3927576,90,1296.998238310047
201603,40~50평,5326.9338,2284087,38,1414.9766794548864
201603,50평 이상,791.5728,676000,4,2818.186779535628
201604,20평 미만,8130.9449,2698480,161,1095.196697249787
201604,20~30평,16028.056,5466108,191,1125.4113661694219
201604,30~40평,9628.8753,3828676,87,1312.1606009374739
201604,40~50평,5713.5664,2628360,41,1518.0689945250308
201604,50평 이상,902.5349,483100,5,1766.3915267985756
201605,20평 미만,8521.1579,2872270,169,1112.3477714220035
201605,20~30평,16086.4175,5690766,189,1167.415168728525
201605,30~40평,8860.4364,3628162,79,1351.2804628900672
201605,40~50평,9192.2718,3913541,67,1404.9503301240504
201605,50평 이상,814.0119,481810,4,1953.2552288240504
201606,20평 미만,10623.7833,3545209,210,1101.2263117226798
201606,20~30평,21418.5302,7709130,253,1187.7625944659824
201606,30~40평,14588.2451,6364366,134,1439.68021211818
201606,40~50평,6968.0437,2916021,49,1381.0001363797417
201606,50평 이상,359.233,217500,2,1998.0068646254656
201607,20평 미만,12489.5185,4046690,241,1069.2227246390644
201607,20~30평,23625.1188,8818415,280,1231.77240911906
201607,30~40평,15625.573,6520721,144,1377.1257732436434
201607,40~50평,5374.1,2131587,38,1308.914441487877
201607,50평 이상,532.0902,269000,3,1668.3261597375783
201608,20평 미만,11379.1152,3859365,216,1119.2350438635158
201608,20~30평,28495.2104,10849050,338,1256.4169380549652
201608,30~40평,10357.9954,3914814,94,1247.2380707950497
201608,40~50평,6796.967,2402179,48,1166.2835349943584
201608,50평 이상,450.3143,276200,2,2024.0529781088453
201609,20평 미만,11220.2672,3896490,221,1145.9991790569836
201609,20~30평,24639.8956,9439770,291,1264.2602674014577
201609,30~40평,11710.2044,4689076,105,1321.407404297742
201609,40~50평,5222.4890000000005,2096050,37,1324.4575527109773
201609,50평 이상,591.454,281026,3,1567.9762077862354
201610,20평 미만,11049.3344,3893510,211,1162.8377361807422
201610,20~30평,29685.9034,11252204,352,1250.838578151541
201610,30~40평,16460.5546,6988302,151,1401.009696234658
201610,40~50평,5818.2412,2339000,41,1326.6380225006826
201610,50평 이상,880.7497000000001,450000,5,1686.0635887812393
201611,20평 미만,6751.7584,2354080,127,1150.5838242079278
201611,20~30평,16253.6763,6568200,192,1333.5481524262914
